timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:42:27.742, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 96 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:32.743, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:37.743, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 95 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:42.744, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:47.745, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 96 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:52.746, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:57.747, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:02.748, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:07.750, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:12.751, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
